,equity
2021-12-13,84596.62902255733
2021-12-14,87647.31193302997
2021-12-15,90885.99846241216
2021-12-16,93487.56583119756
2021-12-17,93914.80138043468
2021-12-20,96575.02009911567
2021-12-21,96513.41303479252
2021-12-22,96844.66890015197
2021-12-23,94526.96829258528
2021-12-24,95246.24311941938
2021-12-27,95283.63545233246
2021-12-28,92583.52487959282
2021-12-29,92398.91928917413
2021-12-30,92158.28315017842
2021-12-31,95682.96900011948
2022-01-03,97436.6077425309
2022-01-04,97373.25332293431
2022-01-05,97802.80227451511
2022-01-06,97807.4151472166
2022-01-07,97298.84724351726
2022-01-10,94993.90188372743
2022-01-11,94603.0776056702
2022-01-12,93022.2953992033
2022-01-13,90480.55898705953
2022-01-14,91396.26919143191
2022-01-17,92083.16991935337
2022-01-18,88536.44581838936
2022-01-19,88223.0269841938
2022-01-20,90051.71763732671
2022-01-21,92038.87896681497
2022-01-24,93997.50321490016
2022-01-25,93991.30885318066
2022-01-26,92223.88405004746
2022-01-27,90023.18224188658
2022-01-28,90610.18054306664
2022-01-31,91268.40952764424
2022-02-01,93735.4221825458
2022-02-02,95877.3924133327
2022-02-03,95521.70877727386
2022-02-04,92931.82281917262
2022-02-07,92215.95593762986
2022-02-08,92562.74022624985
2022-02-09,92080.02963914942
2022-02-10,90864.0473456406
2022-02-11,91276.13094706944
2022-02-14,90212.68745935842
2022-02-15,88922.4061103702
2022-02-16,89439.31269564146
2022-02-17,88588.99860369308
2022-02-18,88975.18603855143
2022-02-21,89418.7895686413
2022-02-22,87172.28327033248
2022-02-23,86193.25013898253
2022-02-24,88826.59367455335
2022-02-25,86550.8282511841
2022-02-28,82598.27963768186
2022-03-01,79243.62602104979
2022-03-02,79221.32886010705
2022-03-03,79202.16331179581
2022-03-04,78926.49875513943
2022-03-07,78926.49875513943
2022-03-08,78926.49875513943
2022-03-09,78926.49875513943
2022-03-10,78926.49875513943
2022-03-11,78926.49875513943
2022-03-14,78926.49875513943
2022-03-15,78926.49875513943
2022-03-16,78926.49875513943
2022-03-17,78926.49875513943
2022-03-18,78926.49875513943
2022-03-21,78926.49875513943
2022-03-22,78926.49875513943
2022-03-23,78926.49875513943
2022-03-24,78926.49875513943
2022-03-25,78926.49875513943
2022-03-28,78926.49875513943
2022-03-29,78926.49875513943
2022-03-30,78926.49875513943
2022-03-31,78926.49875513943
2022-04-01,78926.49875513943
2022-04-04,78926.49875513943
2022-04-05,78926.49875513943
2022-04-06,78926.49875513943
2022-04-07,78926.49875513943
2022-04-08,78926.49875513943
2022-04-11,78926.49875513943
2022-04-12,78926.49875513943
2022-04-13,78926.49875513943
2022-04-14,78926.49875513943
2022-04-15,78926.49875513943
2022-04-18,78926.49875513943
2022-04-19,78926.49875513943
2022-04-20,78926.49875513943
2022-04-21,78926.49875513943
2022-04-22,78926.49875513943
2022-04-25,78926.49875513943
2022-04-26,78926.49875513943
2022-04-27,78926.49875513943
2022-04-28,78926.49875513943
2022-04-29,78926.49875513943
2022-05-02,78926.49875513943
2022-05-03,78926.49875513943
2022-05-04,78926.49875513943
2022-05-05,78926.49875513943
2022-05-06,78926.49875513943
2022-05-09,78926.49875513943
2022-05-10,78926.49875513943
2022-05-11,78926.49875513943
2022-05-12,78926.49875513943
2022-05-13,78926.49875513943
2022-05-16,78879.79522252013
2022-05-17,78728.40314573486
2022-05-18,78830.20135067179
2022-05-19,80420.79153185111
2022-05-20,79574.23058057891
2022-05-23,77429.40735097977
